# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	807603	808001	+					nrdI		USA300HOU_0754	399		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	807603	808001	+	ABX28775.1			ribonucleotide-diphosphate reductase subunit gamma	nrdI		USA300HOU_0754	399	132	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	807964	810069	+					nrdE		USA300HOU_0755	2106		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	807964	810069	+	ABX28776.1			ribonuceloside diphosphate reductase subunit alpha	nrdE		USA300HOU_0755	2106	701	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	810187	811158	+					nrdF		USA300HOU_0756	972		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	810187	811158	+	ABX28777.1			ribonucleoside-diphosphate reductase subunit beta	nrdF		USA300HOU_0756	972	323	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811291	811395	+							USA300HOU_0757	105		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811291	811395	+	ABX28778.1			hypothetical protein			USA300HOU_0757	105	34	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811672	811827	+							USA300HOU_0758	156		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811672	811827	+	ABX28779.1			hypothetical protein			USA300HOU_0758	156	51	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811824	812837	+							USA300HOU_0759	1014		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	811824	812837	+	ABX28780.1			iron (Fe+3) ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_0759	1014	337	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	812824	813780	+							USA300HOU_0760	957		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	812824	813780	+	ABX28781.1			iron (Fe+3) ABC superfamily ATP binding cassette transporter, membrane protein			USA300HOU_0760	957	318	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	813777	814538	+							USA300HOU_0761	762		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	813777	814538	+	ABX28782.1			iron (Fe+3) ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_0761	762	253	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	814657	815685	+							USA300HOU_0762	1029		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	814657	815685	+	ABX28783.1			iron (Fe+3) ABC superfamily ATP binding cassette transporter, binding protein			USA300HOU_0762	1029	342	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	816002	816322	-							USA300HOU_0763	321		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	816002	816322	-	ABX28784.1			hypothetical protein			USA300HOU_0763	321	106	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	816334	817257	-					murB		USA300HOU_0764	924		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	816334	817257	-	ABX28785.1			UDP-N-acetylmuramate dehydrogenase	murB		USA300HOU_0764	924	307	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	817247	817375	-							USA300HOU_0765	129		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	817247	817375	-	ABX28786.1			hypothetical protein			USA300HOU_0765	129	42	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	817384	817902	-							USA300HOU_0766	519		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	817384	817902	-	ABX28787.1			hypothetical protein			USA300HOU_0766	519	172	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	818022	818900	+							USA300HOU_0767	879		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	818022	818900	+	ABX28788.1			hypothetical protein			USA300HOU_0767	879	292	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	819054	819374	+							USA300HOU_0768	321		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	819054	819374	+	ABX28789.1			hypothetical protein			USA300HOU_0768	321	106	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	819799	820923	+							USA300HOU_0769	1125		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	819799	820923	+	ABX28790.1			glycerate kinase			USA300HOU_0769	1125	374	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	821112	822338	-					pepT		USA300HOU_0770	1227		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	821112	822338	-	ABX28791.1			M20 family peptidase T	pepT		USA300HOU_0770	1227	408	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	822352	822846	-							USA300HOU_0771	495		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	822352	822846	-	ABX28792.1			hypothetical protein			USA300HOU_0771	495	164	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	822864	823625	-							USA300HOU_0772	762		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	822864	823625	-	ABX28793.1			hypothetical membrane protein			USA300HOU_0772	762	253	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	823821	824891	-							USA300HOU_0773	1071		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	823821	824891	-	ABX28794.1			diguanylate cyclase GGDEF domain protein			USA300HOU_0773	1071	356	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	825209	826264	+							USA300HOU_0774	1056		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	825209	826264	+	ABX28795.1			hypothetical membrane protein			USA300HOU_0774	1056	351	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	826434	827075	-							USA300HOU_0775	642		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	826434	827075	-	ABX28796.1			hypothetical membrane protein			USA300HOU_0775	642	213	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	827219	828085	+							USA300HOU_0776	867		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	827219	828085	+	ABX28797.1			hypothetical protein			USA300HOU_0776	867	288	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	828449	829531	+							USA300HOU_0777	1083		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	828449	829531	+	ABX28798.1			possible superfamily II DNA/RNA helicase ComFA			USA300HOU_0777	1083	360	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	829521	830198	+							USA300HOU_0778	678		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	829521	830198	+	ABX28799.1			possible superfamily II DNA/RNA helicase ComFC			USA300HOU_0778	678	225	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	830259	830831	+							USA300HOU_0779	573		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	830259	830831	+	ABX28800.1			possible ribosome-associated inhibitor protein Y			USA300HOU_0779	573	190	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	831245	833776	+					secA1		USA300HOU_0780	2532		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	831245	833776	+	ABX28801.1			Sec family Type I general secretory pathway preprotein translocase subunit SecA	secA1		USA300HOU_0780	2532	843	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	833818	833922	+							USA300HOU_0781	105		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	833818	833922	+	ABX28802.1			hypothetical protein			USA300HOU_0781	105	34	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	834326	835201	+					prfB		USA300HOU_0782	876		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	834326	835201	+	ABX28803.1			peptide chain release factor 2	prfB		USA300HOU_0782	876	291	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	835610	836449	+							USA300HOU_0783	840		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	835610	836449	+	ABX28804.1			possible LysM family autolysin			USA300HOU_0783	840	279	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	836623	837273	+							USA300HOU_0784	651		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	836623	837273	+	ABX28805.1			possible HAD superfamily hydrolase			USA300HOU_0784	651	216	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	837270	837506	+							USA300HOU_0785	237		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	837270	837506	+	ABX28806.1			hypothetical membrane protein			USA300HOU_0785	237	78	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	837775	839760	+					uvrB		USA300HOU_0786	1986		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	837775	839760	+	ABX28807.1			excision endonuclease subunit UvrB	uvrB		USA300HOU_0786	1986	661	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	839768	842614	+					uvrA		USA300HOU_0787	2847		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	839768	842614	+	ABX28808.1			excision endonuclease subunit UvrA	uvrA		USA300HOU_0787	2847	948	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	843276	844208	+					hprK		USA300HOU_0788	933		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	843276	844208	+	ABX28809.1			HPr kinase	hprK		USA300HOU_0788	933	310	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	844214	845053	+					lgt		USA300HOU_0789	840		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	844214	845053	+	ABX28810.1			prolipoprotein diacylglyceryl transferase	lgt		USA300HOU_0789	840	279	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	845061	845546	+							USA300HOU_0790	486		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	845061	845546	+	ABX28811.1			possible acetyltransferase			USA300HOU_0790	486	161	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	845554	846993	+							USA300HOU_0791	1440		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	845554	846993	+	ABX28812.1			hypothetical TPR domain protein			USA300HOU_0791	1440	479	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	847060	847995	+					trxB1		USA300HOU_0792	936		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	847060	847995	+	ABX28813.1			thioredoxin-disulfide reductase	trxB1		USA300HOU_0792	936	311	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	848369	848680	-							USA300HOU_0793	312		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	848369	848680	-	ABX28814.1			hypothetical protein			USA300HOU_0793	312	103	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	848875	849786	+							USA300HOU_0794	912		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	848875	849786	+	ABX28815.1			ATP-binding protein			USA300HOU_0794	912	303	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	849783	850778	+							USA300HOU_0795	996		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	849783	850778	+	ABX28816.1			hypothetical protein			USA300HOU_0795	996	331	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	850888	851832	+							USA300HOU_0796	945		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	850888	851832	+	ABX28817.1			hypothetical protein			USA300HOU_0796	945	314	
gene	tRNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	852148	852219	-							USA300HOU_t0013	72		
tRNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	852148	852219	-				tRNA-Arg			USA300HOU_t0013	72		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	852406	852993	+					clpP		USA300HOU_0797	588		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	852406	852993	+	ABX28818.1			S14 family endopeptidase ClpP	clpP		USA300HOU_0797	588	195	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	853236	854138	-							USA300HOU_0798	903		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	853236	854138	-	ABX28819.1			nucleoside-diphosphate sugar epimerase			USA300HOU_0798	903	300	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	854840	855469	+							USA300HOU_0799	630		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	854840	855469	+	ABX28820.1			hypothetical protein			USA300HOU_0799	630	209	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	855658	855804	-							USA300HOU_0800	147		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	855658	855804	-	ABX28821.1			hypothetical protein			USA300HOU_0800	147	48	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	856229	857242	+							USA300HOU_0801	1014		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	856229	857242	+	ABX28822.1			DeoR family transcriptional regulator			USA300HOU_0801	1014	337	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	857295	858305	+					gap		USA300HOU_0802	1011		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	857295	858305	+	ABX28823.1			glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	gap		USA300HOU_0802	1011	336	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	858444	859634	+					pgk		USA300HOU_0803	1191		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	858444	859634	+	ABX28824.1			phosphoglycerate kinase	pgk		USA300HOU_0803	1191	396	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	859756	860517	+					tpi		USA300HOU_0804	762		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	859756	860517	+	ABX28825.1			triose-phosphate isomerase	tpi		USA300HOU_0804	762	253	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	860520	862037	+					pgm		USA300HOU_0805	1518		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	860520	862037	+	ABX28826.1			bisphosphoglycerate mutase	pgm		USA300HOU_0805	1518	505	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	862167	863471	+					eno		USA300HOU_0806	1305		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	862167	863471	+	ABX28827.1			phosphopyruvate hydratase	eno		USA300HOU_0806	1305	434	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	863811	864269	+							USA300HOU_0807	459		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	863811	864269	+	ABX28828.1			hypothetical membrane protein			USA300HOU_0807	459	152	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	864336	864569	+					secG		USA300HOU_0808	234		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	864336	864569	+	ABX28829.1			possible Sec family Type I general secretory protein SecG	secG		USA300HOU_0808	234	77	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	864685	865425	+							USA300HOU_0809	741		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	864685	865425	+	ABX28830.1			carboxylesterase			USA300HOU_0809	741	246	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	865459	867831	+					vacB		USA300HOU_0810	2373		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	865459	867831	+	ABX28831.1			exoribonuclease R	vacB		USA300HOU_0810	2373	790	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	867853	868317	+							USA300HOU_0811	465		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	867853	868317	+	ABX28832.1			tmRNA-binding protein			USA300HOU_0811	465	154	
gene	tmRNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	868423	868737	+					ssrA		USA300HOU_nc0003	315		
tmRNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	868423	868737	+				tmRNA SsrA	ssrA		USA300HOU_nc0003	315		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869091	869372	+							USA300HOU_0812	282		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869091	869372	+	ABX28833.1			hypothetical membrane protein			USA300HOU_0812	282	93	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869639	869962	-							USA300HOU_0813	324		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869639	869962	-	ABX28834.1			hypothetical protein			USA300HOU_0813	324	107	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869978	870124	-							USA300HOU_0814	147		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	869978	870124	-	ABX28835.1			hypothetical protein			USA300HOU_0814	147	48	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	870316	871044	-							USA300HOU_0815	729		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	870316	871044	-	ABX28836.1			hypothetical lipoprotein			USA300HOU_0815	729	242	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	871483	871635	+							USA300HOU_0816	153		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	871483	871635	+	ABX28837.1			hypothetical protein			USA300HOU_0816	153	50	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	871643	872086	+							USA300HOU_0817	444		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	871643	872086	+	ABX28838.1			hypothetical protein			USA300HOU_0817	444	147	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	872303	872833	+							USA300HOU_0818	531		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	872303	872833	+	ABX28839.1			acetyltransferase			USA300HOU_0818	531	176	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	873096	875897	+					clfA		USA300HOU_0819	2802		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	873096	875897	+	ABX28840.1			fibrinogen-binding protein	clfA		USA300HOU_0819	2802	933	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	876118	877644	+					vwb		USA300HOU_0820	1527		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	876118	877644	+	ABX28841.1			von Willebrand factor-binding protein	vwb		USA300HOU_0820	1527	508	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	877995	879017	+					emp		USA300HOU_0821	1023		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	877995	879017	+	ABX28842.1			extracellular matrix protein-binding protein	emp		USA300HOU_0821	1023	340	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	879352	879822	+							USA300HOU_0822	471		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	879352	879822	+	ABX28843.1			hypothetical protein			USA300HOU_0822	471	156	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	880163	880849	+					nuc		USA300HOU_0823	687		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	880163	880849	+	ABX28844.1			micrococcal nuclease	nuc		USA300HOU_0823	687	228	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	881206	881406	+					csp		USA300HOU_0824	201		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	881206	881406	+	ABX28845.1			cold-shock protein	csp		USA300HOU_0824	201	66	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	881902	882120	-							USA300HOU_0825	219		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	881902	882120	-	ABX28846.1			hypothetical protein			USA300HOU_0825	219	72	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	882182	882466	-							USA300HOU_0826	285		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	882182	882466	-	ABX28847.1			hypothetical protein			USA300HOU_0826	285	94	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	882554	883123	-							USA300HOU_0827	570		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	882554	883123	-	ABX28848.1			hypothetical protein			USA300HOU_0827	570	189	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	883528	883788	-							USA300HOU_0828	261		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	883528	883788	-	ABX28849.1			hypothetical membrane protein			USA300HOU_0828	261	86	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884129	884332	+							USA300HOU_0829	204		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884129	884332	+	ABX28850.1			hypothetical protein			USA300HOU_0829	204	67	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884329	884565	-							USA300HOU_0830	237		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884329	884565	-	ABX28851.1			hypothetical protein			USA300HOU_0830	237	78	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884781	885371	+					gpmA1		USA300HOU_0831	591		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	884781	885371	+	ABX28852.1			phosphoglycerate mutase	gpmA1		USA300HOU_0831	591	196	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	885444	886061	-							USA300HOU_0832	618		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	885444	886061	-	ABX28853.1			LysE family L-lysine exporter			USA300HOU_0832	618	205	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	886216	886710	-							USA300HOU_0833	495		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	886216	886710	-	ABX28854.1			hypothetical protein			USA300HOU_0833	495	164	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	886958	887092	+							USA300HOU_0834	135		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	886958	887092	+	ABX28855.1			hypothetical protein			USA300HOU_0834	135	44	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	887109	887531	-					osmC		USA300HOU_0835	423		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	887109	887531	-	ABX28856.1			osmotically inducible protein OsmC	osmC		USA300HOU_0835	423	140	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	887679	888395	+					aroD		USA300HOU_0836	717		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	887679	888395	+	ABX28857.1			3-dehydroquinate dehydratase	aroD		USA300HOU_0836	717	238	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	888478	889017	+							USA300HOU_0837	540		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	888478	889017	+	ABX28858.1			possible nitroreductase			USA300HOU_0837	540	179	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	889167	889487	-							USA300HOU_0838	321		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	889167	889487	-	ABX28859.1			possible thioredoxin			USA300HOU_0838	321	106	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	889631	889987	+					arsC1		USA300HOU_0839	357		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	889631	889987	+	ABX28860.1			possible arsenate reductase (glutaredoxin)	arsC1		USA300HOU_0839	357	118	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890145	890525	+					gcvH		USA300HOU_0840	381		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890145	890525	+	ABX28861.1			glycine cleavage system protein H	gcvH		USA300HOU_0840	381	126	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890589	890702	+							USA300HOU_0841	114		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890589	890702	+	ABX28862.1			hypothetical protein			USA300HOU_0841	114	37	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890704	891582	+							USA300HOU_0842	879		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	890704	891582	+	ABX28863.1			hypothetical protein			USA300HOU_0842	879	292	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	891652	891765	+							USA300HOU_0843	114		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	891652	891765	+	ABX28864.1			hypothetical protein			USA300HOU_0843	114	37	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	891787	891933	+							USA300HOU_0844	147		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	891787	891933	+	ABX28865.1			hypothetical protein			USA300HOU_0844	147	48	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	892324	892710	+							USA300HOU_0845	387		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	892324	892710	+	ABX28866.1			TOPRIM domain topiosmerase/primase			USA300HOU_0845	387	128	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	892703	892999	+							USA300HOU_0846	297		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	892703	892999	+	ABX28867.1			possible thioredoxin			USA300HOU_0846	297	98	
