# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "CDS" "-p" "-g" "gene_id" "-F" "GTF" "-a" "data/reference_genome/S_aureus_CP000730.gtf" "-o" "data/processed_data/counts_files/all_samples_counts.txt" "data/processed_data/bam_files/ERR2713020.bam" "data/processed_data/bam_files/ERR2713021.bam" "data/processed_data/bam_files/ERR2713022.bam" "data/processed_data/bam_files/ERR2713023.bam" "data/processed_data/bam_files/ERR2713024.bam" "data/processed_data/bam_files/ERR2713025.bam" 
Geneid	Chr	Start	End	Strand	Length	data/processed_data/bam_files/ERR2713020.bam	data/processed_data/bam_files/ERR2713021.bam	data/processed_data/bam_files/ERR2713022.bam	data/processed_data/bam_files/ERR2713023.bam	data/processed_data/bam_files/ERR2713024.bam	data/processed_data/bam_files/ERR2713025.bam
USA300HOU_0733	CP000730.1	783953	784663	-	711	737	589	643	1740	916	1926
USA300HOU_0734	CP000730.1	784670	785086	-	417	284	203	265	689	415	707
USA300HOU_0735	CP000730.1	785091	785756	-	666	229	135	155	1120	636	1064
USA300HOU_0736	CP000730.1	786107	786697	+	591	84	29	81	231	113	264
USA300HOU_0737	CP000730.1	786675	787832	+	1158	355	215	248	759	425	841
USA300HOU_0738	CP000730.1	787835	788440	+	606	296	183	269	630	331	626
USA300HOU_0739	CP000730.1	788509	788712	+	204	238	149	153	565	347	683
USA300HOU_0740	CP000730.1	788803	789510	+	708	634	432	568	1823	1050	2036
USA300HOU_0741	CP000730.1	789497	790498	+	1002	989	707	889	2834	1627	3190
USA300HOU_0742	CP000730.1	790975	792912	+	1938	28690	24762	26221	50380	27947	59734
USA300HOU_0743	CP000730.1	793186	795066	+	1881	3392	2631	3220	4902	2555	5133
USA300HOU_0744	CP000730.1	795081	796859	+	1779	3809	3230	3960	7372	3788	7136
USA300HOU_0745	CP000730.1	797084	798058	+	975	1721	1273	1452	910	545	968
USA300HOU_0746	CP000730.1	798054	799565	+	1512	4889	3572	4405	1902	1184	1922
USA300HOU_0747	CP000730.1	799808	800863	+	1056	2146	2066	2069	590	450	1236
USA300HOU_0748	CP000730.1	801217	801756	+	540	1674	1382	1468	1468	905	2349
USA300HOU_0749	CP000730.1	802386	803300	-	915	1861	1859	1531	916	661	1902
USA300HOU_0750	CP000730.1	803391	803489	+	99	30	10	20	39	23	38
USA300HOU_0751	CP000730.1	803573	805075	-	1503	2792	1900	2415	23711	15073	34016
USA300HOU_0752	CP000730.1	805419	805916	-	498	358	270	279	1859	1081	2626
USA300HOU_0753	CP000730.1	805939	806802	-	864	353	264	296	2870	1656	3873
USA300HOU_0754	CP000730.1	807603	807998	+	396	2150	1552	2059	4245	2116	3890
USA300HOU_0755	CP000730.1	807964	810066	+	2103	20156	17159	19371	25368	12546	27769
USA300HOU_0756	CP000730.1	810187	811155	+	969	9693	8216	8640	18723	10362	19405
USA300HOU_0757	CP000730.1	811291	811392	+	102	19	16	13	46	17	27
USA300HOU_0758	CP000730.1	811672	811824	+	153	2	1	1	8	5	5
USA300HOU_0759	CP000730.1	811824	812834	+	1011	1105	866	1005	377	205	452
USA300HOU_0760	CP000730.1	812824	813777	+	954	950	816	987	403	199	325
USA300HOU_0761	CP000730.1	813777	814535	+	759	953	875	923	449	224	328
USA300HOU_0762	CP000730.1	814657	815682	+	1026	8627	8760	8788	2005	1127	1548
USA300HOU_0763	CP000730.1	816005	816322	-	318	428	351	417	1011	625	1462
USA300HOU_0764	CP000730.1	816337	817257	-	921	814	689	779	2416	1306	3359
USA300HOU_0765	CP000730.1	817250	817375	-	126	2	1	3	47	20	34
USA300HOU_0766	CP000730.1	817387	817902	-	516	147	77	59	740	410	718
USA300HOU_0767	CP000730.1	818022	818897	+	876	486	332	333	995	573	1041
USA300HOU_0768	CP000730.1	819054	819371	+	318	523	563	476	3681	1962	4039
USA300HOU_0769	CP000730.1	819799	820920	+	1122	5040	4381	4145	3889	2051	3393
USA300HOU_0770	CP000730.1	821115	822338	-	1224	3760	3631	3680	4592	2724	6738
USA300HOU_0771	CP000730.1	822355	822846	-	492	321	260	250	642	368	750
USA300HOU_0772	CP000730.1	822867	823625	-	759	228	139	165	796	466	1032
USA300HOU_0773	CP000730.1	823824	824891	-	1068	1037	940	1055	5798	3096	8307
USA300HOU_0774	CP000730.1	825209	826261	+	1053	1159	822	901	4655	2474	6412
USA300HOU_0775	CP000730.1	826437	827075	-	639	3384	2617	3535	1250	695	1921
USA300HOU_0776	CP000730.1	827219	828082	+	864	2095	1957	2219	9462	5177	12331
USA300HOU_0777	CP000730.1	828449	829528	+	1080	159	88	96	788	428	858
USA300HOU_0778	CP000730.1	829521	830195	+	675	129	84	67	384	183	428
USA300HOU_0779	CP000730.1	830259	830828	+	570	94016	104913	103436	13212	10813	46830
USA300HOU_0780	CP000730.1	831245	833773	+	2529	30346	30569	31770	19965	10454	22623
USA300HOU_0781	CP000730.1	833818	833919	+	102	139	136	152	152	72	102
USA300HOU_0782	CP000730.1	834326	835198	+	873	1683	1512	1880	2305	1284	2769
USA300HOU_0783	CP000730.1	835610	836446	+	837	182	121	140	285	173	417
USA300HOU_0784	CP000730.1	836623	837270	+	648	599	410	323	920	558	871
USA300HOU_0785	CP000730.1	837270	837503	+	234	144	86	67	242	128	245
USA300HOU_0786	CP000730.1	837775	839757	+	1983	9823	8929	9205	5085	2347	5628
USA300HOU_0787	CP000730.1	839768	842611	+	2844	22132	23937	23022	9327	4655	10015
USA300HOU_0788	CP000730.1	843276	844205	+	930	1712	1528	1375	2923	1687	3562
USA300HOU_0789	CP000730.1	844214	845050	+	837	943	766	745	1820	1006	1896
USA300HOU_0790	CP000730.1	845061	845543	+	483	725	568	590	1247	620	1266
USA300HOU_0791	CP000730.1	845554	846990	+	1437	2193	2016	2091	4270	2285	4246
USA300HOU_0792	CP000730.1	847060	847992	+	933	41787	39172	43179	8155	4038	7980
USA300HOU_0793	CP000730.1	848372	848680	-	309	1638	1387	1670	903	450	1327
USA300HOU_0794	CP000730.1	848875	849783	+	909	5168	4631	5324	3073	1529	3321
USA300HOU_0795	CP000730.1	849783	850775	+	993	8135	8290	8162	3595	1930	4425
USA300HOU_0796	CP000730.1	850888	851829	+	942	9035	9664	9679	5159	2602	5829
USA300HOU_0797	CP000730.1	852406	852990	+	585	171639	170056	177266	5601	3641	8744
USA300HOU_0798	CP000730.1	853239	854138	-	900	7074	5490	6212	1563	952	2634
USA300HOU_0799	CP000730.1	854840	855466	+	627	2251	1393	2000	1730	1104	2624
USA300HOU_0800	CP000730.1	855661	855804	-	144	24	6	3	22	18	32
USA300HOU_0801	CP000730.1	856229	857239	+	1011	16347	14880	15392	44365	27291	77280
USA300HOU_0802	CP000730.1	857295	858302	+	1008	59724	62339	63226	71693	43802	116455
USA300HOU_0803	CP000730.1	858444	859631	+	1188	27401	30817	29519	22463	12416	27404
USA300HOU_0804	CP000730.1	859756	860514	+	759	23260	26123	24603	19541	11162	21168
USA300HOU_0805	CP000730.1	860520	862034	+	1515	44473	49324	47501	38504	21856	44207
USA300HOU_0806	CP000730.1	862167	863468	+	1302	85483	89303	93162	50667	29369	68315
USA300HOU_0807	CP000730.1	863811	864266	+	456	682	641	595	2920	1764	4765
USA300HOU_0808	CP000730.1	864336	864566	+	231	2499	1882	2336	8406	5196	14324
USA300HOU_0809	CP000730.1	864685	865422	+	738	1574	1326	1553	7409	3674	9381
USA300HOU_0810	CP000730.1	865459	867828	+	2370	6824	5861	6452	22493	10812	29396
USA300HOU_0811	CP000730.1	867853	868314	+	462	1354	1304	1300	3900	2027	5747
USA300HOU_0812	CP000730.1	869091	869369	+	279	105	32	72	192	96	235
USA300HOU_0813	CP000730.1	869642	869962	-	321	54	78	79	368	239	478
USA300HOU_0814	CP000730.1	869981	870124	-	144	33	37	32	181	93	213
USA300HOU_0815	CP000730.1	870319	871044	-	726	120	97	102	666	411	650
USA300HOU_0816	CP000730.1	871483	871632	+	150	2	0	3	5	1	7
USA300HOU_0817	CP000730.1	871643	872083	+	441	46	15	22	22	17	25
USA300HOU_0818	CP000730.1	872303	872830	+	528	69	72	52	334	166	316
USA300HOU_0819	CP000730.1	873096	875894	+	2799	10003	11016	9006	4270	2496	6292
USA300HOU_0820	CP000730.1	876118	877641	+	1524	87	8	9	983	487	785
USA300HOU_0821	CP000730.1	877995	879014	+	1020	160	190	116	303	230	543
USA300HOU_0822	CP000730.1	879352	879819	+	468	70	43	40	296	135	360
USA300HOU_0823	CP000730.1	880163	880846	+	684	37	38	45	1455	774	971
USA300HOU_0824	CP000730.1	881206	881403	+	198	12026	9370	19873	59336	30662	152372
USA300HOU_0825	CP000730.1	881905	882120	-	216	208	197	135	309	158	392
USA300HOU_0826	CP000730.1	882185	882466	-	282	198	219	152	380	212	466
USA300HOU_0827	CP000730.1	882557	883123	-	567	91	79	66	622	323	785
USA300HOU_0828	CP000730.1	883531	883788	-	258	180	246	180	204	158	294
USA300HOU_0829	CP000730.1	884129	884329	+	201	5934	5356	4788	812	622	1927
USA300HOU_0830	CP000730.1	884332	884565	-	234	2767	2883	2790	550	400	1398
USA300HOU_0831	CP000730.1	884781	885368	+	588	170	123	124	687	382	632
USA300HOU_0832	CP000730.1	885447	886061	-	615	1126	976	1119	1194	839	2030
USA300HOU_0833	CP000730.1	886219	886710	-	492	632	771	520	797	557	1905
USA300HOU_0834	CP000730.1	886958	887089	+	132	4	4	3	3	1	4
USA300HOU_0835	CP000730.1	887112	887531	-	420	585	529	453	141	88	341
USA300HOU_0836	CP000730.1	887679	888392	+	714	362	432	294	250	169	276
USA300HOU_0837	CP000730.1	888478	889014	+	537	3741	2848	3294	1377	807	2165
USA300HOU_0838	CP000730.1	889170	889487	-	318	9077	7547	8333	823	606	1121
USA300HOU_0839	CP000730.1	889631	889984	+	354	1725	1419	1335	1045	707	1386
USA300HOU_0840	CP000730.1	890145	890522	+	378	6378	6296	5525	7287	4545	9002
USA300HOU_0841	CP000730.1	890589	890699	+	111	86	88	79	66	39	41
USA300HOU_0842	CP000730.1	890704	891579	+	876	1124	1154	1034	676	431	859
USA300HOU_0843	CP000730.1	891652	891762	+	111	137	156	133	88	51	105
USA300HOU_0844	CP000730.1	891787	891930	+	144	270	278	254	152	87	213
USA300HOU_0845	CP000730.1	892324	892707	+	384	646	659	607	395	213	440
USA300HOU_0846	CP000730.1	892703	892996	+	294	400	418	353	315	141	284
USA300HOU_0847	CP000730.1	893249	894271	+	1023	563	421	575	1626	899	2412
USA300HOU_0848	CP000730.1	894267	894959	+	693	306	279	352	803	466	1331
USA300HOU_0849	CP000730.1	894980	895798	+	819	833	701	807	1548	978	2284
USA300HOU_0850	CP000730.1	895947	897164	-	1218	95	99	62	614	330	604
USA300HOU_0851	CP000730.1	897255	897980	-	726	151	119	80	879	558	776
USA300HOU_0852	CP000730.1	898007	898732	-	726	106	47	49	768	391	572
USA300HOU_0853	CP000730.1	898752	899207	-	456	77	59	58	590	279	502
USA300HOU_0854	CP000730.1	899222	899551	-	330	114	101	103	678	389	689
USA300HOU_0855	CP000730.1	899744	900004	+	261	90	79	51	29	13	56
USA300HOU_0856	CP000730.1	900000	900269	+	270	50	48	37	23	14	18
USA300HOU_0857	CP000730.1	900263	900454	+	192	19	28	15	10	11	7
USA300HOU_0858	CP000730.1	900424	900624	+	201	15	21	18	9	8	8
USA300HOU_0859	CP000730.1	900629	901009	+	381	53	70	67	61	25	63
USA300HOU_0860	CP000730.1	901013	901258	+	246	58	53	34	75	38	55
USA300HOU_0861	CP000730.1	901353	903722	+	2370	679	561	534	496	212	423
USA300HOU_0862	CP000730.1	904396	904737	+	342	184	145	125	152	59	136
USA300HOU_0863	CP000730.1	904965	905168	+	204	70	95	75	87	20	76
USA300HOU_0864	CP000730.1	905158	906213	+	1056	1227	1236	1107	667	461	882
USA300HOU_0865	CP000730.1	906400	906888	+	489	367	402	403	352	207	354
USA300HOU_0866	CP000730.1	907320	908285	+	966	2728	1650	1858	11623	6637	13393
USA300HOU_0867	CP000730.1	908526	909077	-	552	408	500	352	820	504	844
USA300HOU_0868	CP000730.1	910111	910302	+	192	83641	88906	77510	9717	7984	23545
USA300HOU_0869	CP000730.1	910541	911389	-	849	1603	1296	1190	3988	2528	5113
USA300HOU_0870	CP000730.1	911717	912475	+	759	11711	10574	11045	11305	6675	15578
USA300HOU_0871	CP000730.1	912576	913880	+	1305	20231	19736	19600	15194	8515	21890
USA300HOU_0872	CP000730.1	913879	914013	-	135	327	329	283	250	138	248
USA300HOU_0873	CP000730.1	913989	915236	+	1248	18998	18744	18436	12278	6999	16700
USA300HOU_0874	CP000730.1	915229	915690	+	462	9495	9998	9266	6125	3556	7728
USA300HOU_0875	CP000730.1	915844	917238	+	1395	32199	34489	32867	18435	10512	23481
USA300HOU_0876	CP000730.1	917431	917562	+	132	19	29	36	53	35	62
USA300HOU_0877	CP000730.1	917574	917885	-	312	53	39	45	73	41	99
USA300HOU_0878	CP000730.1	918250	919287	+	1038	921	664	593	661	313	468
USA300HOU_0879	CP000730.1	919304	920368	+	1065	362	179	176	529	260	302
USA300HOU_0880	CP000730.1	920297	920428	-	132	0	0	0	0	0	0
USA300HOU_0881	CP000730.1	920438	920533	+	96	4	2	10	25	6	15
USA300HOU_0882	CP000730.1	920584	921429	+	846	1242	847	886	1775	913	2125
USA300HOU_0883	CP000730.1	921445	922269	+	825	1067	844	858	1421	648	1335
USA300HOU_0884	CP000730.1	922299	923615	+	1317	2801	2289	2326	3286	1517	3249
USA300HOU_0885	CP000730.1	923702	924616	+	915	10017	9154	9889	11114	5700	12461
USA300HOU_0886	CP000730.1	924740	925129	+	390	1297	1249	1171	1492	952	1833
USA300HOU_0887	CP000730.1	925214	925477	-	264	173	110	144	587	262	649
USA300HOU_0888	CP000730.1	925575	926006	+	432	280	270	234	1608	973	1973
USA300HOU_0889	CP000730.1	926009	926785	+	777	592	524	500	2750	1508	3263
USA300HOU_0890	CP000730.1	926821	927777	+	957	1327	1311	1174	3805	2102	4703
USA300HOU_0891	CP000730.1	928037	928141	+	105	40	21	20	537	311	432
USA300HOU_0892	CP000730.1	928192	928341	+	150	115	87	68	1531	840	1340
USA300HOU_0893	CP000730.1	928360	929814	+	1455	1725	1359	1317	19671	10791	20762
USA300HOU_0894	CP000730.1	929814	931025	+	1212	2209	1831	2066	18014	10165	18665
USA300HOU_0895	CP000730.1	931046	931279	+	234	616	452	565	4912	2832	4977
USA300HOU_0896	CP000730.1	931279	932451	+	1173	3304	2845	2988	26988	16086	32245
USA300HOU_0897	CP000730.1	932720	932959	-	240	2735	2615	2865	2549	1581	4263
USA300HOU_0898	CP000730.1	933060	933380	+	321	301	281	246	827	464	1295
USA300HOU_0899	CP000730.1	933445	934506	-	1062	2388	2456	2027	3575	2108	5198
USA300HOU_0900	CP000730.1	934823	935056	+	234	2035	1586	2045	485	322	699
USA300HOU_0901	CP000730.1	935072	935428	+	357	3074	2775	3411	1103	671	1830
USA300HOU_0902	CP000730.1	935885	937090	+	1206	6947	6724	6503	31369	17418	35864
USA300HOU_0903	CP000730.1	939110	940423	+	1314	1279	1196	1043	3383	1668	4045
USA300HOU_0904	CP000730.1	940445	940816	+	372	749	793	831	1394	793	1965
USA300HOU_0905	CP000730.1	940878	942029	-	1152	6131	5454	5912	291	142	307
USA300HOU_0906	CP000730.1	942281	942634	-	354	2434	2490	2614	3901	2589	5314
USA300HOU_0907	CP000730.1	942615	942905	-	291	1237	1129	1361	2047	1194	2998
USA300HOU_0908	CP000730.1	942908	943384	-	477	3489	3074	3442	5808	3959	7275
USA300HOU_0909	CP000730.1	943389	944882	-	1494	8997	8695	9253	15311	9746	20724
USA300HOU_0910	CP000730.1	944878	945216	-	339	2137	2022	2269	3335	2091	4177
USA300HOU_0911	CP000730.1	945219	945644	-	426	2014	1912	2148	3560	2059	3974
USA300HOU_0912	CP000730.1	945640	948042	-	2403	13966	10945	13278	23985	15422	30192
USA300HOU_0913	CP000730.1	948176	948556	-	381	183	140	168	360	231	648
USA300HOU_0914	CP000730.1	948620	949210	+	591	3061	3047	2949	2070	1317	2980
USA300HOU_0915	CP000730.1	950368	951492	+	1125	15041	11325	16650	995	555	1099
USA300HOU_0916	CP000730.1	951803	952990	+	1188	34279	37440	33419	3354	2045	7060
USA300HOU_0917	CP000730.1	953102	954343	+	1242	60590	66435	61431	7158	4137	15041
USA300HOU_0918	CP000730.1	954852	955778	-	927	952	1097	900	470	267	715
USA300HOU_0919	CP000730.1	956023	957399	-	1377	11487	19751	12855	2851	2318	6762
USA300HOU_0920	CP000730.1	957392	958594	-	1203	9286	15203	10420	3083	2602	9964
USA300HOU_0921	CP000730.1	959224	960273	+	1050	18807	17351	20651	10147	6086	10727
USA300HOU_0922	CP000730.1	960601	961173	+	573	892	799	764	2219	1186	2502
USA300HOU_0923	CP000730.1	961181	961702	+	522	770	652	607	2795	1471	2983
USA300HOU_0924	CP000730.1	961712	962293	+	582	1271	1173	1216	3449	1739	3673
USA300HOU_0925	CP000730.1	962456	965929	+	3474	5611	5743	5372	3412	1860	3847
USA300HOU_0926	CP000730.1	965933	969583	+	3651	10592	11404	11282	6128	3637	6667
USA300HOU_0927	CP000730.1	969752	970651	+	900	26724	26721	27938	7256	4704	11160
USA300HOU_0928	CP000730.1	970983	971369	+	387	500	551	397	1883	952	2156
USA300HOU_0929	CP000730.1	971546	972859	-	1314	11797	10403	13020	8351	5029	11736
USA300HOU_0930	CP000730.1	972914	973735	-	822	4398	3399	4597	2840	1814	4056
USA300HOU_0931	CP000730.1	973849	974154	+	306	14651	13484	15347	3751	2300	4883
USA300HOU_0932	CP000730.1	974704	976515	+	1812	536	445	514	356	196	356
USA300HOU_0933	CP000730.1	976721	979327	+	2607	359413	427729	382372	5998	3459	8126
USA300HOU_0934	CP000730.1	979392	980258	-	867	365	472	350	35	16	20
USA300HOU_0935	CP000730.1	980368	981510	+	1143	295	290	221	57	21	44
USA300HOU_0936	CP000730.1	981497	982135	+	639	112	120	86	85	44	59
USA300HOU_0937	CP000730.1	982132	982278	-	147	0	0	0	0	0	0
USA300HOU_0938	CP000730.1	982131	983246	+	1116	95	43	38	209	114	209
USA300HOU_0939	CP000730.1	984059	984490	+	432	358	432	391	242	134	374
USA300HOU_0940	CP000730.1	984753	984935	-	183	1822	1718	1656	2728	1747	5036
USA300HOU_0941	CP000730.1	985230	986168	+	939	941	616	954	7188	4051	6639
USA300HOU_0942	CP000730.1	986183	987424	+	1242	7178	6577	6891	15836	8752	16361
USA300HOU_0943	CP000730.1	987485	987853	-	369	32	19	16	246	123	266
USA300HOU_0944	CP000730.1	988096	989019	+	924	334	289	278	3034	1274	2646
USA300HOU_0945	CP000730.1	989022	990089	+	1068	423	330	339	3162	1410	2482
USA300HOU_0946	CP000730.1	990109	991188	+	1080	823	643	759	4294	2106	3207
USA300HOU_0947	CP000730.1	991181	992119	+	939	846	778	928	3617	1851	3064
USA300HOU_0948	CP000730.1	992141	993793	+	1653	2415	2222	2451	8245	4649	7884
USA300HOU_0949	CP000730.1	994008	995720	+	1713	66	32	31	44	15	49
USA300HOU_0950	CP000730.1	995774	996757	+	984	57	6	16	42	32	25
USA300HOU_0951	CP000730.1	996763	997740	+	978	43	17	14	179	74	127
USA300HOU_0952	CP000730.1	997736	998695	+	960	47	40	13	298	159	280
USA300HOU_0953	CP000730.1	998710	999588	+	879	177	50	66	210	105	236
USA300HOU_0954	CP000730.1	999636	1000622	-	987	541	426	448	2807	1708	3570
USA300HOU_0955	CP000730.1	1000917	1001309	+	393	35637	44643	43628	63432	46024	131239
USA300HOU_0956	CP000730.1	1001683	1002399	+	717	12744	12184	13652	4456	2616	5903
USA300HOU_0958	CP000730.1	1003556	1005361	+	1806	1256	924	668	2317	1355	1818
USA300HOU_0959	CP000730.1	1005827	1006630	-	804	1732	1222	1034	1153	685	1788
USA300HOU_0960	CP000730.1	1006656	1007018	-	363	668	445	443	625	405	1130
USA300HOU_0961	CP000730.1	1007125	1007715	-	591	136	142	190	210	174	548
USA300HOU_0962	CP000730.1	1007901	1008245	+	345	508	366	403	606	340	789
USA300HOU_0963	CP000730.1	1008265	1008897	+	633	1121	931	886	1240	758	1796
USA300HOU_0964	CP000730.1	1008917	1009723	+	807	2486	2258	2309	2538	1449	3655
USA300HOU_0965	CP000730.1	1009723	1010574	+	852	892	747	851	1424	758	1518
USA300HOU_0966	CP000730.1	1010598	1011980	+	1383	1375	1238	1362	3031	1655	3304
USA300HOU_0967	CP000730.1	1011993	1013834	+	1842	2599	2372	2574	5575	3172	6414
USA300HOU_0968	CP000730.1	1013905	1014018	+	114	130	95	142	336	182	287
USA300HOU_0969	CP000730.1	1014115	1014882	+	768	6403	4893	6288	10246	5664	14017
USA300HOU_0970	CP000730.1	1015083	1016165	-	1083	2147	1914	1882	7113	4414	11518
USA300HOU_0971	CP000730.1	1016507	1018072	+	1566	1203	851	801	2112	1388	3669
USA300HOU_0972	CP000730.1	1018217	1018972	+	756	366	275	236	780	456	827
USA300HOU_0973	CP000730.1	1019169	1019675	+	507	6229	6366	5699	6412	4117	14430
USA300HOU_0974	CP000730.1	1019794	1020981	-	1188	3719	2492	2667	4723	2636	4935
USA300HOU_0975	CP000730.1	1020962	1022134	-	1173	3604	2375	2288	4407	2355	5331
USA300HOU_0976	CP000730.1	1022567	1024045	+	1479	1104	763	909	6238	3015	6137
USA300HOU_0977	CP000730.1	1024041	1024289	+	249	210	131	191	998	581	975
USA300HOU_0978	CP000730.1	1024292	1025851	+	1560	2218	1636	2105	10170	5373	11983
USA300HOU_0979	CP000730.1	1026156	1026956	+	801	3125	2754	4098	6448	4001	10369
USA300HOU_0980	CP000730.1	1027193	1029499	+	2307	288	150	191	1644	855	1500
USA300HOU_0981	CP000730.1	1029519	1030874	+	1356	1037	630	836	4370	2589	4949
USA300HOU_0982	CP000730.1	1031016	1032524	+	1509	1153	953	988	1691	981	2524
USA300HOU_0983	CP000730.1	1033017	1033583	-	567	37	16	13	67	40	82
USA300HOU_0984	CP000730.1	1041289	1042767	+	1479	315	219	220	2850	1731	3512
USA300HOU_0985	CP000730.1	1043692	1044648	+	957	96	44	72	332	168	352
USA300HOU_0986	CP000730.1	1044700	1044828	-	129	640	670	694	212	148	406
USA300HOU_0987	CP000730.1	1044895	1045107	-	213	769	639	689	361	222	518
USA300HOU_0988	CP000730.1	1045272	1045820	+	549	514	414	306	280	174	261
USA300HOU_0989	CP000730.1	1045878	1046813	-	936	707	592	526	3199	2091	3705
USA300HOU_0990	CP000730.1	1046986	1048353	+	1368	2132	1764	1496	3360	1589	2819
USA300HOU_0991	CP000730.1	1048343	1050013	+	1671	4298	4108	3330	6116	2916	5704
USA300HOU_0992	CP000730.1	1050003	1050803	+	801	2796	2828	2596	3794	2117	3914
USA300HOU_0993	CP000730.1	1050799	1051617	+	819	14715	14590	15307	9684	5050	11465
USA300HOU_0994	CP000730.1	1051862	1052188	-	327	63	50	42	72	54	146
USA300HOU_0995	CP000730.1	1052229	1053407	-	1179	153	111	101	300	220	355
USA300HOU_0996	CP000730.1	1053492	1054499	-	1008	85	77	69	211	150	226
USA300HOU_0997	CP000730.1	1058169	1061936	-	3768	10009	9588	9740	12635	7239	12788
USA300HOU_0998	CP000730.1	1062167	1062613	-	447	173	127	163	260	138	276
USA300HOU_0999	CP000730.1	1062756	1063223	-	468	1097	951	1171	2426	1415	3092
USA300HOU_1000	CP000730.1	1063274	1064488	-	1215	2385	1806	2277	5620	3288	7647
USA300HOU_1001	CP000730.1	1064939	1066129	+	1191	251	163	155	2055	1114	2103
USA300HOU_1002	CP000730.1	1066672	1066959	-	288	4027	4186	4399	9258	5266	15597
USA300HOU_1003	CP000730.1	1066959	1067561	-	603	7463	7283	7642	20710	11589	30168
USA300HOU_1004	CP000730.1	1067554	1069539	-	1986	22418	20627	23103	77251	44471	110447
USA300HOU_1005	CP000730.1	1069542	1070639	-	1098	9520	8286	10253	43284	25338	67425
USA300HOU_1006	CP000730.1	1070941	1071060	+	120	9	13	12	26	10	41
USA300HOU_1007	CP000730.1	1071214	1071528	-	315	1094	972	1065	3781	2833	6785
USA300HOU_1008	CP000730.1	1072336	1073193	-	858	21886	21734	22991	8676	5233	10621
USA300HOU_1009	CP000730.1	1073394	1073873	+	480	41	41	40	1418	637	887
USA300HOU_1010	CP000730.1	1073863	1074984	+	1122	154	120	145	5359	2755	2863
USA300HOU_1011	CP000730.1	1074991	1075692	+	702	193	108	143	3608	1750	1716
USA300HOU_1012	CP000730.1	1075695	1075955	+	261	72	48	50	2150	1097	1216
USA300HOU_1013	CP000730.1	1075960	1076628	+	669	201	206	201	7339	3876	4115
USA300HOU_1014	CP000730.1	1076624	1078810	+	2187	1088	1038	962	34086	17900	22032
USA300HOU_1015	CP000730.1	1078792	1080273	+	1482	1153	1105	933	31243	16540	24186
USA300HOU_1016	CP000730.1	1080269	1081294	+	1026	1016	1091	957	29560	15729	24308
USA300HOU_1017	CP000730.1	1081872	1083356	+	1485	1943	1961	1827	46017	25945	43598
USA300HOU_1018	CP000730.1	1083381	1084625	+	1245	2425	2625	2449	45812	24460	48438
USA300HOU_1019	CP000730.1	1084896	1085699	-	804	425	431	509	713	408	969
USA300HOU_1020	CP000730.1	1085695	1087092	-	1398	1151	988	1173	1807	1058	2615
USA300HOU_1021	CP000730.1	1087110	1087682	-	573	305	280	427	690	450	1078
USA300HOU_1022	CP000730.1	1088552	1089844	+	1293	8308	8505	8265	9596	5657	12910
USA300HOU_1023	CP000730.1	1090272	1091441	+	1170	1865	1638	1715	1806	1076	2733
USA300HOU_1024	CP000730.1	1091498	1092037	+	540	3540	3314	3566	1992	1253	3818
USA300HOU_1025	CP000730.1	1092194	1092457	+	264	11386	10990	11336	8081	5173	11175
USA300HOU_1026	CP000730.1	1092463	1094178	+	1716	70631	67859	67195	49958	30142	61605
USA300HOU_1027	CP000730.1	1094421	1094651	-	231	340	260	263	182	110	213
USA300HOU_1028	CP000730.1	1094849	1096207	+	1359	442	371	1016	1391	708	1361
USA300HOU_1029	CP000730.1	1096207	1097223	+	1017	383	339	534	1216	677	1170
USA300HOU_1030	CP000730.1	1097359	1098018	+	660	850	875	936	2248	1185	2916
USA300HOU_1031	CP000730.1	1098373	1100067	-	1695	46495	47095	42131	21616	12319	28666
USA300HOU_1032	CP000730.1	1100070	1100285	-	216	3224	2906	2939	1893	1055	1930
USA300HOU_1033	CP000730.1	1100317	1100436	-	120	2082	1639	1672	1208	643	1216
USA300HOU_1034	CP000730.1	1100769	1101317	-	549	4934	4305	4606	2246	1464	2899
USA300HOU_1035	CP000730.1	1101682	1102305	+	624	5948	5638	5881	2500	1373	2835
USA300HOU_1036	CP000730.1	1102479	1103588	+	1110	70740	70301	74421	61024	34843	71386
USA300HOU_1037	CP000730.1	1103595	1104569	+	975	57471	59284	60315	48982	26468	54605
USA300HOU_1038	CP000730.1	1104663	1105952	+	1290	96027	98796	99233	75573	42811	90303
USA300HOU_1039	CP000730.1	1105959	1107362	+	1404	114438	127373	123818	85179	46858	106944
USA300HOU_1040	CP000730.1	1107533	1107805	+	273	384	366	426	940	485	1357
USA300HOU_1041	CP000730.1	1107952	1108488	+	537	212	167	180	4946	2674	4656
USA300HOU_1042	CP000730.1	1108504	1109595	+	1092	354	308	306	7891	4123	7817
USA300HOU_1043	CP000730.1	1111203	1112273	+	1071	582	569	568	10690	6592	11692
USA300HOU_1044	CP000730.1	1112350	1113366	+	1017	4638	3686	4326	19583	11830	23782
USA300HOU_1045	CP000730.1	1113652	1114068	+	417	3367	2902	3485	1168	734	1358
USA300HOU_1046	CP000730.1	1114110	1114211	+	102	84	83	79	43	34	57
USA300HOU_1047	CP000730.1	1117734	1119578	+	1845	2894	2160	2890	48123	24353	78637
USA300HOU_1048	CP000730.1	1119724	1119888	-	165	523	483	484	445	316	752
